frameIdx or filename, face_detected(bool), BB_upperLeftCorner.x, BB_upperLeftCorner.y, BB_height, BB_width, isFemale, age; 
163, 1, 762, 566, 154, 159, 0, 23.8647;
164, 1, 766, 572, 148, 151, 0, 23.2178;
165, 1, 770, 580, 140, 144, 0, 27.1973;
166, 1, 770, 576, 144, 148, 0, 24.9146;
167, 1, 772, 578, 142, 146, 0, 24.2432;
168, 1, 773, 579, 141, 144, 0, 24.1821;
169, 1, 772, 580, 140, 142, 0, 24.2065;
170, 1, 770, 580, 140, 146, 0, 24.2798;
171, 1, 768, 577, 143, 150, 0, 23.3276;
172, 1, 766, 578, 142, 148, 0, 23.4497;
173, 1, 766, 577, 143, 147, 0, 24.2065;
174, 1, 763, 575, 145, 151, 0, 25.3174;
175, 1, 764, 576, 144, 147, 0, 26.8799;
176, 1, 766, 581, 139, 141, 0, 26.6357;
177, 1, 773, 583, 137, 145, 0, 24.7314;
178, 1, 778, 587, 133, 142, 0, 27.5391;
179, 1, 780, 589, 131, 138, 0, 27.2705;
180, 1, 781, 592, 128, 135, 0, 26.4893;
185, 1, 1231, 404, 58, 49, 0, 28.6865;
186, 1, 1221, 404, 58, 58, 0, 32.8369;
187, 1, 734, 570, 145, 145, 0, 26.1475;
190, 1, 1199, 406, 44, 44, 0, 31.8359;
191, 1, 1193, 405, 44, 44, 0, 29.5166;
197, 1, 1140, 412, 49, 49, 0, 34.375;
198, 1, 1177, 522, 129, 103, 0, 25.8789;
199, 1, 1166, 523, 115, 114, 0, 24.4629;
199, 1, 1231, 453, 50, 49, 1, 27.6855;
200, 1, 1156, 524, 111, 111, 0, 25.9277;
200, 1, 709, 569, 133, 133, 0, 31.2744;
201, 1, 1134, 523, 110, 110, 0, 25.8057;
201, 1, 702, 564, 141, 141, 0, 31.3965;
202, 1, 1117, 527, 106, 106, 0, 26.123;
202, 1, 702, 565, 142, 142, 0, 30.4199;
203, 1, 1095, 528, 110, 110, 0, 29.4434;
203, 1, 700, 565, 142, 142, 0, 30.3711;
204, 1, 1080, 530, 108, 108, 0, 25.8789;
204, 1, 703, 566, 139, 139, 0, 29.6387;
205, 1, 1061, 536, 100, 100, 0, 27.6123;
205, 1, 698, 565, 138, 138, 0, 29.5166;
206, 1, 1046, 534, 104, 104, 0, 26.2451;
206, 1, 696, 567, 136, 136, 0, 29.126;
207, 1, 1024, 536, 103, 103, 0, 30.3955;
207, 1, 695, 566, 139, 139, 0, 28.7354;
208, 1, 999, 534, 110, 110, 0, 25.4883;
209, 1, 980, 539, 103, 103, 0, 28.7842;
209, 1, 397, 584, 68, 68, 0, 20.874;
210, 1, 943, 537, 114, 114, 0, 26.9775;
210, 1, 395, 586, 67, 67, 0, 21.9482;
211, 1, 917, 548, 105, 105, 0, 33.0566;
211, 1, 394, 587, 64, 64, 0, 22.29;
212, 1, 882, 544, 118, 118, 0, 30.6885;
212, 1, 392, 586, 68, 68, 0, 22.0093;
212, 1, 662, 559, 151, 151, 1, 32.4219;
213, 1, 852, 543, 115, 115, 0, 30.5176;
213, 1, 392, 588, 64, 64, 0, 22.229;
213, 1, 668, 559, 147, 147, 0, 33.7646;
214, 1, 664, 556, 154, 154, 0, 35.2051;
